email,company,tier,has_opens,has_clicks,smartlead_status
acomasonryheatac@gmail.com,"ACO Masonry, Heating & A.C.",C,✓,✗,STARTED
info@bmr-hvac.com,BMR Hvac,C,✓,✗,STARTED
info@advantageairheatingandcooling.com,"Advantage Air Plumbing, Heating and Cooling",C,✓,✗,STARTED
services@theoilboys.com,The Oil Boys,C,✓,✗,STARTED
info@platinumhvacs.com,Platinum HVAC,C,✓,✗,STARTED
office@baycitymechanical.com,Bay City Mechanical Inc.,B,✓,✗,INPROGRESS
officereliablehvac@gmail.com,Reliable HVAC & Plumbing,C,✓,✗,STARTED
info@atlantic-heatingcooling.com,Atlantic Mechanical Contractors of North Jersey,C,✓,✗,STARTED
info@ppandhvac.com,Pettigrew Plumbing & HVAC,B,✓,✗,COMPLETED
abbotthvacnh@gmail.com,Abbott HVAC,C,✓,✗,INPROGRESS
info@coheating.com,"Central Oregon Heating, Cooling, Plumbing & Electrical",B,✓,✓,INPROGRESS
mihai@mcphvac.com,MCP HVAC,B,✓,✗,INPROGRESS
jesse@envrair.com,RentAnAC NYC,C,✓,✗,INPROGRESS
info@excelmechme.com,Excel Mechanical,C,✓,✗,STARTED
contact@ecosavehomesolutions.com,EcoSave Home Solutions,C,✓,✗,INPROGRESS
info@prattimechanical.com,Pratti Mechanical Inc,C,✓,✗,STARTED
matt.mbph@gmail.com,Matt Beam Plumbing & Heating,C,✓,✗,STARTED
office@daplumbingandheating.com,Doug Anderson Plumbing and Heating,B,✓,✗,INPROGRESS
info@trutempheatingandcooling.com,TruTemp Heating and Cooling,C,✓,✗,STARTED
info@lacroixhc.com,LaCroix Heating and Cooling,C,✓,✗,STARTED
service@cotaoil.com,Cota & Cota,C,✓,✗,STARTED
kbrownech@gmail.com,KB Heating & Cooling,C,✓,✗,STARTED
info@bedfordmechanical.com,"Bedford Mechanical, Inc.",C,✓,✗,STARTED
service@qualityhomeheating.net,Quality Home Heating & Air,A,✓,✗,INPROGRESS
info@peakmechanicalvt.com,Peak Mechanical,C,✓,✗,INPROGRESS
service@splitsolution.com,Split Solution HVAC,C,✓,✗,STARTED
info@airprosolutionshvac.com,AirPro Solutions Hvac,C,✓,✗,STARTED
info@bigalsservices.com,Big Al's Services,B,✓,✗,COMPLETED
info@phcprecision.com,Precision Home Services,A,✓,✗,INPROGRESS
info@quarryhillsplumbing.com,Quarry Hills Plumbing & HVAC,C,✓,✗,STARTED
info@buccafix.com,Bucca Fix,C,✓,✗,STARTED
dispatch@aeheatingandcooling.com,"A&E Plumbing, Heating And Air",B,✓,✓,INPROGRESS
info@rw-heating.com,R & W Heating Energy Solutions,C,✓,✗,STARTED
info@americanairinc.com,American Air HVAC,C,✓,✗,STARTED
info@intactplumbing.com,Intact Plumbing & Heating,C,✓,✗,INPROGRESS
smith.river.hvac@gmail.com,Smith River HVAC,A,✓,✗,INPROGRESS
climatesbypomeroy@gmail.com,Climates by Pomeroy,C,✓,✗,STARTED
keith@dodgecooling.com,Dodge Cooling and Heating,B,✓,✗,INPROGRESS
info@askgem.com,GEM Plumbing & Heating,A,✓,✓,INPROGRESS
info@newwaveair.com,New Wave,C,✓,✗,STARTED
decaturheating@gmail.com,Decatur Heating Services,C,✓,✗,STARTED
heatpumpsofmaine@gmail.com,Heat Pumps of Maine,C,✓,✗,STARTED
office@druziakohvac.com,Druziako HVAC Inc.,A,✓,✓,INPROGRESS
dfarinha@usi-hvac.com,Ultra Services Inc,C,✓,✓,INPROGRESS
sales@hometownnh.com,Hometown Heating & Air,C,✓,✗,STARTED
info@topnotchcomfort.com,Top Notch Comfort,C,✓,✗,STARTED
info@leblanchvac.com,"A.J. LeBlanc Heating, A/C, Plumbing & Electrical",B,✓,✓,COMPLETED
soumadelservices@gmail.com,Soumadel HVAC,C,✓,✗,STARTED
aeairconditionrefrigeration@gmail.com,A&E Air Conditioning & Refrigeration,C,✓,✗,STARTED
info@valleymaine.com,Valley Home Services,C,✓,✓,STARTED
info@buddsplumbing.com,Budd's Plumbing | Heating | Cooling,C,✓,✗,STARTED
sales@greenenergymech.com,Green Energy AC Heating & Plumbing Repair,B,✓,✗,INPROGRESS
svetlana@aireservofpasadena.com,Aire Serv of Northeastern Minnesota,B,✓,✗,COMPLETED
contact@hajekheating.com,Hajek Heating & Cooling,A,✓,✗,INPROGRESS
crownpointheatingandcooling@gmail.com,Crown Point Heating And Cooling,C,✓,✗,STARTED
email@domain.com,Aire Serv of New Haven,B,✓,✓,BLOCKED
streamhvacllc@gmail.com,Stream HVAC,C,✓,✗,STARTED
neccleslie@gmail.com,New England Climate Control,C,✓,✗,STARTED
maheuxheatinginc@gmail.com,Maheux Heating & Refrigeration,C,✓,✗,STARTED
jeff@calloasisnh.com,Oasis Cooling and Heating,C,✓,✗,INPROGRESS
affordable.comfort3@gmail.com,Affordable Comfort,C,✓,✗,STARTED
dimartinos5starheating@gmail.com,DiMartino's 5 Star Heating & Air Conditioning,C,✓,✗,STARTED
nshomeenergyconsulting@gmail.com,North Shore Home Energy,C,✓,✗,STARTED
admin@603mechanical.com,603 Mechanical,C,✓,✗,STARTED
contact@centralcooling.com,Central Cooling & Heating,A,✓,✓,INPROGRESS
privacy@dwyergroup.com,Aire Serv of Lakes Country,B,✓,✓,INPROGRESS
hello@homesteadhvac.com,Homestead Heating and Cooling,C,✓,✗,STARTED
impallari@gmail.com,Mack Air Pro,C,✓,✗,INPROGRESS
info@newtonerac.com,"Dennis Newton Electrical, Refrigeration and Air Conditioning, Inc.",C,✓,✓,STARTED
info@allinone-enterprise.com,All In One Enterprise,C,✓,✗,STARTED
chris@newwaveair.com,New Wave,C,✓,✗,INPROGRESS
gerrymafera@gmail.com,Kingdom Cooling,C,✓,✗,STARTED
hello@procomfortcontrol.com,Pro Comfort Control AC & Heating Installation,C,✓,✓,STARTED
info@krauseheating.com,Krause Heating & Cooling,C,✓,✗,INPROGRESS
contactus@somersetheatcool.com,Somerset Heating & Cooling,C,✓,✗,STARTED
junior@jnservicehvac.com,JN Service HVAC & Plumbing,B,✓,✗,COMPLETED
aairsystemstech@gmail.com,AAIR Systems Technologies,C,✓,✗,STARTED
admin@villagehomeservices.com,Village Home Services,C,✓,✗,STARTED
cnm.hcp@gmail.com,CNM Heating Cooling Piping,C,✓,✗,STARTED
fpenney@usi-hvac.com,Ultra Services Inc,C,✓,✓,STARTED
doctorplumber.hvac@gmail.com,HVAC DOCTORS HOME SERVICE,C,✓,✗,STARTED
aec@aec-hvac.com,AEC Heating & Air Conditioning,C,✓,✗,STARTED
sales@dirigomechanical.com,HVAC Bangor Maine by Dirigo Mechanical,A,✓,✗,INPROGRESS
armusinfo@gmail.com,armus mechanical,A,✓,✗,INPROGRESS
noe@aceshvacllc.com,ACES Heating & Cooling,C,✓,✗,STARTED
info@greenheatvt.com,Green Heat,B,✓,✗,INPROGRESS
hello@callrevise.com,Revise Inc.,C,✓,✗,STARTED
office@kirklandandshaw.com,Kirkland and Shaw Inc.,C,✓,✓,STARTED
contact@instantservices.com,Instant Services,A,✓,✓,INPROGRESS
rcasavant@aairsystems.com,AAIR Systems Technologies,B,✓,✗,COMPLETED
info@americanairsystemsinc.com,"American Air Systems, Inc.",C,✓,✗,STARTED
service@cmsheatandair.net,Countywide Heating and Cooling,C,✓,✗,STARTED
mark@euheat.com,Energy Unlimited Heating & Cooling,C,✓,✗,STARTED
info@premierhvaccompany.com,Premier Heating and Cooling,A,✓,✗,INPROGRESS
contact@lairdshvac.com,Laird's HVAC,A,✓,✗,COMPLETED
pcaccurate12@gmail.com,Accurate hvac,C,✓,✗,INPROGRESS
atoraman@gmail.com,HVAC Restorations.,C,✓,✗,INPROGRESS
info@jerrysplumbingme.com,Jerry's Plumbing & Heating,A,✓,✗,INPROGRESS
sales@callmurphys.com,"Murphy's Air Conditioning, Heating & Plumbing",A,✓,✓,INPROGRESS
service@npandh.com,Nistler Plumbing & Heating,B,✓,✗,INPROGRESS
sales@mcdonaldhvac.com,"McDonald Heating Air Conditioning Plumbing, Inc.",C,✓,✗,STARTED
info@pjhvac.com,PJ Mechanical,C,✓,✗,STARTED
info@fmkvt.com,FMK Heating and Cooling,A,✓,✗,INPROGRESS
info@ecoheatmaine.com,EcoHeat Maine,C,✓,✗,STARTED
info@localenergyme.com,Local Energy,C,✓,✗,STARTED
hightechph@comcast.net,High-Tech Plumbing & Heating,C,✓,✗,STARTED
seth.trudeau@experityhealth.com,YurTek - Trudeau HVAC and Property Management,C,✓,✓,STARTED
info@hyperheatpump.com,Adirondack Heat Pumps - Cold-Climate,C,✓,✗,STARTED
casey@caseybashawplumbing.com,Casey Bashaw Plumbing Heating,C,✓,✗,STARTED
office@eastcoastairnh.com,East Coast Air,B,✓,✗,COMPLETED
sales@njpmechanical.com,NJP Mechanical Heating and Air Conditioning,C,✓,✗,STARTED
malakmd@gmail.com,Comfort Plus,C,✓,✗,INPROGRESS
info@midcoastenergysystems.com,Mid-Coast Energy Systems,C,✓,✗,STARTED
smryysy@gmail.com,HVAC Restorations.,C,✓,✗,STARTED
gammons@gammons.me,Gammon’s Heating & Cooling,C,✓,✗,STARTED
william@dynastycomfortsolutions.com,Dynasty Comfort Solutions inc.,C,✓,✗,STARTED
info@mainstreammechanical.com,Main Stream Mechanical,C,✓,✗,STARTED
centralmaineair@gmail.com,Central Maine AC & Heating Inc,C,✓,✗,STARTED
cbhvac@gmail.com,CB Mechanical,C,✓,✗,STARTED
coldflamemech@gmail.com,Coldflame Mechanical,C,✓,✗,STARTED
abbottshvac@gmail.com,Abbott HVAC,C,✓,✗,STARTED
c.telyan@ueni.com,Quick Air Conditioning Contractor,C,✓,✗,STARTED
info@thayerhvac.com,Thayer,C,✓,✓,STARTED
modernmechanicalsolutions@gmail.com,Modern Mechanical Solutions,C,✓,✗,STARTED
support@actionplumbingheatingair.com,Action Plumbing Heating And Air,C,✓,✓,STARTED
info@chasehvac.com,Chase Heating And Cooling INC. Owner/Operator- Erik S. Chase,C,✓,✓,STARTED
courtney.fleck@aireserv.com,Aire Serv of New Haven,B,✓,✓,INPROGRESS
info@bowmansair.com,Bowman's Cooling & Heating,C,✓,✗,STARTED
hello@rentanac.com,RentAnAC NYC,C,✓,✗,STARTED
aeheatingandcooling@gmail.com,"A&E Plumbing, Heating And Air",B,✓,✗,COMPLETED
contact@manzellahomeservices.com,Manzella Home Services,C,✓,✗,STARTED
ccmechllc@gmail.com,Climate Control Mechanical,C,✓,✗,STARTED
mcd.heatncool@gmail.com,McDonough Heating and Cooling,C,✓,✗,STARTED
service@medfordwellington.com,Medford Wellington Service Company,C,✓,✗,STARTED
hayesr@gmail.com,HVAC Restorations.,C,✓,✗,INPROGRESS
info@allgasheat.com,"All Gas Heating & Cooling, Inc.",C,✓,✓,STARTED
service@ascoolinginc.com,A&S Cooling,C,✓,✗,STARTED
service@degreeheatingandcooling.com,Degree Heating and Cooling,A,✓,✗,INPROGRESS
bill@gelinashvac.com,Gelinas HVAC Services,A,✓,✓,INPROGRESS
contact@celticair.com,Celtic Air,B,✓,✗,INPROGRESS
walley@walleys.com,Walley's Heating & Air,B,✓,✗,INPROGRESS
jonclark@candcairsolutions.com,C&C Air Solutions,C,✓,✗,INPROGRESS
gateshvacr@hotmail.com,Gates Hvacr,C,✓,✗,STARTED
service@bergeronheatingandcooling.com,Bergeron Heating and Cooling,C,✓,✗,STARTED
beaulieuenergy@gmail.com,Beaulieu Energy Services,C,✓,✗,STARTED
info@neairhvac.com,New England Air Hvac Massachusetts,C,✓,✗,INPROGRESS
info@nehvacpros.com,New England HVAC Pros,C,✓,✗,STARTED
info@hphcllc.com,Harwich Port Heating & Cooling.,B,✓,✓,INPROGRESS
info@airritecapecod.com,Air Rite HVAC - Solar Energy,C,✓,✗,STARTED
info@ecfplumber.com,Eric C. Foster Plumbing Heating & Cooling Inc.,B,✓,✗,COMPLETED
gmerhf@gmail.com,"Heath & Field Plumbing & Heating, Inc.",C,✓,✗,STARTED
info@patriotheat.com,Patriot Heating & Cooling,C,✓,✗,STARTED
bsouza@excelmechanical.com,Excel Mechanical,B,✓,✗,INPROGRESS
dripcustom603@gmail.com,Drip custom 603,C,✓,✗,STARTED
nj.aircrew@gmail.com,Air Crew Heating and Cooling,B,✓,✗,INPROGRESS
service@northeasthc.com,Northeast Heating & Cooling,B,✓,✗,STARTED
info@milltownplumbing.com,"MillTown Plumbing, Heating, Cooling and Electrical",B,✓,✗,INPROGRESS
office@notturnohome.com,Notturno Home Services,B,✓,✗,INPROGRESS
arunaprabath@gmail.com,Comfort Plus,C,✓,✗,INPROGRESS
email@absoluteairservices.com,Absolute Air Services,B,✓,✓,COMPLETED
contact@brooksidemech.com,"Brookside Heating & Cooling (fka Brookside Mechanical, Inc.)",A,✓,✗,INPROGRESS
info@masvt.com,Mountain Air Systems Inc,C,✓,✓,STARTED
info@motivatedmechanicalsolutions.com,Motivated Mechanical Solutions,C,✓,✗,STARTED
admin@elemental-hvac.com,Elemental Heating & Cooling,B,✓,✗,COMPLETED
hello@nextgen-aire.com,NextGen Aire,A,✓,✗,INPROGRESS
info@mcneillhvac.com,McNeill Heating & Air Conditioning,C,✓,✗,STARTED
onlineservice@justcallheritage.com,Heritage Home Service,A,✓,✓,INPROGRESS
info@northstarcapecod.com,Northstar Heating and Cooling,C,✓,✗,STARTED
alltemp.nh@gmail.com,All Temp Services Inc,C,✓,✗,STARTED
info@lakeshoreheatingandcooling.com,Lake Shore Heating and Cooling,C,✓,✗,STARTED
office@wallawallaair.com,American Air Heating & Cooling,C,✓,✗,STARTED
info@calllloyd.com,Lloyd Home Service,B,✓,✗,INPROGRESS
info@heatvt.com,Heating and Cooling Contractors of Vermont,C,✓,✗,STARTED
jack.mooney@aireserv.com,Aire Serv of Lewiston,B,✓,✓,INPROGRESS
contact@wix.com,Independence Heating & Cooling,C,✓,✓,STARTED
service@prestigehc.net,Prestige Heating & Cooling-HVAC Contractors,C,✓,✗,STARTED
