Company,Contact,Email,Phone,Tier,Location,Engagement,Last Activity,Intent,Service_Software
Stahl Plumbing Heating & Air,,samantha@stahlplumbing.com,+1 412-273-1000,B,"Pittsburgh, PA",1,2025-12-09,CLICKED,
Thayer,,info@thayerhvac.com,+1 800-649-4197,C,"Auburn, ME",1,2025-12-08,CLICKED,
Chase Heating And Cooling,,info@chasehvac.com,+1 603-769-8675,C,"Windham, NH",1,2025-12-08,CLICKED,
Royal River Heat Pumps,,rrhp@royalriverheatpumps.com,+1 207-400-4065,C,"Freeport, ME",1,2025-12-08,CLICKED,
Kirkland and Shaw Inc,,office@kirklandandshaw.com,+1 781-272-2670,C,"Burlington, MA",1,2025-12-08,CLICKED,
YurTek Trudeau HVAC,Seth,seth.trudeau@experityhealth.com,+1 978-995-0068,C,"Lowell, MA",1,2025-12-05,CLICKED,
Kafin HVAC,,office@kafinoil.com,+1 401-765-3881,C,"Woonsocket, RI",1,2025-12-05,CLICKED,
Valley Home Services,,info@valleymaine.com,+1 207-945-9008,C,"Hermon, ME",1,2025-12-05,CLICKED,
Dennis Newton Electrical,,info@newtonerac.com,+1 802-388-1431,C,"Middlebury, VT",1,2025-12-05,CLICKED,
Ultra Services Inc,,fpenney@usi-hvac.com,+1 978-667-8800,C,"Billerica, MA",1,2025-12-05,CLICKED,
Pro Comfort Control,,hello@procomfortcontrol.com,+1 508-955-4776,C,"Framingham, MA",1,2025-12-04,CLICKED,
Action Plumbing Heating And Air,,support@actionplumbingheatingair.com,+1 833-863-6060,C,"Concord, NH",1,2025-12-04,CLICKED,
Aire Serv of Lakes Country,,privacy@dwyergroup.com,+1 218-631-8917,B,"Perham, MN",1,2025-12-02,CLICKED,
RYCOR HVAC,Scott,sales@rycorhvac.com,+1 845-742-5110,B,"New Paltz, NY",1,2025-11-25,CLICKED,ServiceTitan
RYCOR HVAC,,scott.arnold@rycorhvac.com,+1 518-862-8918,A,"Gansevoort, NY",1,2025-11-24,CLICKED,ServiceTitan
Gelinas HVAC Services,Justin,bill@gelinashvac.com,+1 207-261-0288,A,"Scarborough, ME",1,2025-11-21,CLICKED,ServiceTitan
Fire & Ice Heating and AC,Dawn,service@indoortemp.com,+1 614-454-3260,A,"Columbus, OH",1,2025-11-21,CLICKED,ServiceTitan
Walley's Heating & Air,Walley,support@walleys.com,+1 603-718-8545,B,"Nashua, NH",1,2025-11-18,CLICKED,
Precision Home Services,,info@phcprecision.com,+1 508-217-7091,A,"Northborough, MA",5,2025-12-19,OPENED,ServiceTitan
AAIR Systems Technologies,Ryan,aairsystemstech@gmail.com,+1 508-829-7740,C,"Oxford, MA",4,2025-12-16,OPENED,
Modern Mechanical Solutions,,modernmechanicalsolutions@gmail.com,+1 802-558-2727,C,"Springfield, VT",4,2025-12-15,OPENED,
D & E Heating AC & Refrigeration,,info@deheatingcooling.com,+1 320-384-0066,C,"Hinckley, MN",4,2025-12-15,OPENED,
Hometown Heating & Air,,sales@hometownnh.com,+1 603-496-1009,C,"Andover, NH",4,2025-12-12,OPENED,
Lake Shore Heating and Cooling,,info@lakeshoreheatingandcooling.com,+1 218-656-0177,C,"Nisswa, MN",4,2025-12-12,OPENED,
armus mechanical,Edward,armusinfo@gmail.com,+1 508-521-9477,A,"Lakeville, MA",4,2025-12-11,OPENED,Housecall Pro
Brookside Heating & Cooling,David,contact@brooksidemech.com,+1 603-645-0145,A,"Manchester, NH",4,2025-12-11,OPENED,ServiceTitan
Intact Plumbing & Heating,,info@intactplumbing.com,+1 201-977-1450,C,"Fair Lawn, NJ",3,2025-12-20,OPENED,
Elemental Heating & Cooling,Scott,admin@elemental-hvac.com,+1 978-496-8320,B,"Westford, MA",3,2025-12-19,OPENED,
Quality Home Heating & Air,,service@qualityhomeheating.net,+1 508-763-2777,A,"East Bridgewater, MA",3,2025-12-19,OPENED,Housecall Pro
Oasis Cooling and Heating,Jeffrey,jeff@calloasisnh.com,+1 603-706-7936,C,"Danville, NH",3,2025-12-19,OPENED,
J&J Mechanical Inc,,sales@jjmechanicalinc.com,+1 856-832-4576,B,"Mickleton, NJ",3,2025-12-19,OPENED,
Mr. Fixit Group Llc,,contact@sansoxygen.com,+1 518-310-7571,A,"Plattsburgh, NY",3,2025-12-19,OPENED,Housecall Pro
Old Line Heating And Air,,oldlinehvac@gmail.com,+1 410-896-7480,A,"Pylesville, MD",3,2025-12-19,OPENED,Housecall Pro
Dc Plumbing & Heating Llc,,devin@dcplumbing.llc,+1 814-743-3004,A,"Edinboro, PA",3,2025-12-19,OPENED,Jobber
Heat Wiser HVAC,,heatwiser@gmail.com,+1 315-670-3098,A,"Liverpool, NY",3,2025-12-19,OPENED,Jobber
Eric C. Foster Plumbing Heating,,info@ecfplumber.com,+1 978-256-5976,B,"Chelmsford, MA",3,2025-12-19,OPENED,
EcoSave Home Solutions,Polly,contact@ecosavehomesolutions.com,+1 978-414-6499,C,"North Chelmsford, MA",3,2025-12-19,OPENED,
Aeropro Heating and Cooling,,service@aeroprohvacr.com,+1 973-604-5038,C,"Paterson, NJ",3,2025-12-18,OPENED,
Air Rite HVAC Solar Energy,,info@airritecapecod.com,+1 508-360-7662,C,"Hyannis, MA",3,2025-12-16,OPENED,
ACES Heating & Cooling,,noe@aceshvacllc.com,+1 541-701-6889,C,"Hermiston, OR",3,2025-12-16,OPENED,
Superior Co-Op HVAC,Gerald,info@scoophvac.com,+1 518-719-5614,B,"Cambridge, NY",3,2025-12-16,OPENED,
Elevated Air Heating and Cooling,Damien,damien@elevatedairheating.com,+1 503-461-2242,C,"Silverton, OR",3,2025-12-16,OPENED,
North Country Heating Cooling,,northcountryheatingcooling@gmail.com,+1 218-504-4117,C,"Virginia, MN",3,2025-12-15,OPENED,
Standard Plumbing Heating And AC,Brian,brian@standardphc.com,+1 574-936-4660,C,"Plymouth, IN",3,2025-12-15,OPENED,
Abbott HVAC,,abbotthvacnh@gmail.com,+1 603-814-0625,C,"Stratham, NH",3,2025-12-15,OPENED,
Casey Bashaw Plumbing Heating,Casey,casey@caseybashawplumbing.com,+1 978-895-0214,C,"Orange, MA",3,2025-12-15,OPENED,
Ohio Water Heaters,Michael,mike@ohiowaterheaters.com,+1 614-350-3297,C,"Reynoldsburg, OH",3,2025-12-15,OPENED,
New England Air Hvac,,info@neairhvac.com,+1 857-237-2445,C,"Revere, MA",3,2025-12-14,OPENED,
Cota & Cota,,service@cotaoil.com,+1 888-268-2645,C,"Bellows Falls, VT",3,2025-12-12,OPENED,
Bucca Fix,Romany,info@buccafix.com,+1 781-975-0713,C,"Hanover, MA",3,2025-12-12,OPENED,
Above and Beyond Plumbing,Joshua,abovebeyondplumbing@gmail.com,+1 508-341-8330,C,"Worcester, MA",3,2025-12-12,OPENED,
New England HVAC Pros,James,info@nehvacpros.com,+1 508-213-9472,C,"Avon, MA",3,2025-12-12,OPENED,
212 Hvac Brooklyn,,info@212hvac.com,+1 917-633-5959,B,"Brooklyn, NY",3,2025-12-12,OPENED,
Nextgen Heating And AC,,jpicano@nextgenhvac.co,+1 267-347-2657,A,"Philadelphia, PA",3,2025-12-11,OPENED,Housecall Pro
Degree Heating and Cooling,,service@degreeheatingandcooling.com,+1 860-633-6122,A,"Glastonbury, CT",3,2025-12-11,OPENED,ServiceTitan
New Era Plumbing & HVAC,,service@callnewera.com,+1 978-593-2294,A,"Dracut, MA",3,2025-12-11,OPENED,ServiceTitan
MCP HVAC,Mihai,service@mcphvac.com,+1 603-501-9454,C,"Portsmouth, NH",3,2025-12-10,OPENED,
Landry Mechanical Inc,,sales@landrymechanical.com,+1 508-987-0080,A,"Millbury, MA",3,2025-12-10,OPENED,ServiceTitan
Green Heat,Andrew,info@greenheatvt.com,+1 802-858-9740,B,"Jericho, VT",3,2025-12-10,OPENED,Housecall Pro
A&E Plumbing Heating And Air,Andy,aeheatingandcooling@gmail.com,+1 541-387-3311,B,"Hood River, OR",3,2025-12-09,OPENED,
Presidential HVAC,Arturo,info@peboston.com,+1 857-895-1220,B,"Boston, MA",3,2025-12-09,OPENED,
Smith River HVAC,Shawn,smith.river.hvac@gmail.com,+1 603-217-0851,A,"Bristol, NH",3,2025-12-08,OPENED,Housecall Pro
NextGen Aire,,matt@nextgen-aire.com,+1 978-213-4508,A,"Methuen, MA",3,2025-12-08,OPENED,ServiceTitan
Lloyd Home Service,Peter,peter@calllloyd.com,+1 802-426-2092,B,"Montpelier, VT",3,2025-12-08,OPENED,
Squam Lakes Plumbing & Heating,Maurice,scheduling@squamlakeplumbing.com,+1 603-968-2181,B,"Ashland, NH",3,2025-12-08,OPENED,
JN Service HVAC & Plumbing,Lusinei,junior@jnservicehvac.com,+1 781-731-1511,B,"Walpole, MA",3,2025-12-08,OPENED,
HVAC Bangor Maine by Dirigo,Jake,sales@dirigomechanical.com,+1 207-631-9959,A,"Plymouth, ME",3,2025-12-01,OPENED,Housecall Pro
Cape Cod Heat Pumps,Jared,info@ccheatpumps.com,+1 508-833-4822,A,"Marstons Mills, MA",3,2025-12-01,OPENED,ServiceTitan
Modern Temperature Control,Timothy,timmy@moderntempcontrol.com,+1 978-504-0458,A,"Merrimac, MA",3,2025-12-01,OPENED,Housecall Pro
Laird's HVAC,Paul,contact@lairdshvac.com,+1 207-241-0823,A,"Auburn, ME",3,2025-12-01,OPENED,Housecall Pro
FMK Heating and Cooling,Joseph,info@fmkvt.com,+1 802-922-7842,A,"Fairfax, VT",3,2025-12-01,OPENED,Jobber
My Jockey,,service@my-jockey.com,+1 844-695-6253,C,"Saratoga Springs, NY",1,OPENED,,
Dunwiddie Heating AC And Plumbing,Ben,ben@dunwiddieheating.com,+1 260-824-1999,C,"Bluffton, IN",1,OPENED,,
Nuts About Comfort,Ronald,ron@nutsaboutcomfort.com,+1 330-933-1472,C,,1,2025-12-20,OPENED,
Subcooling And Superheat Control,Marc,marct@coolheatcontrol.com,+1 614-671-0510,C,"Columbus, OH",1,OPENED,,
Kindle Mechanical Llc,Cookie,cookiewiese@gmail.com,+1 717-434-9237,C,"Felton, PA",1,OPENED,,
Emh Mechanical,Ethan,ehawes@emhmechanical.com,+1 248-609-6357,C,"Clinton Township, MI",1,OPENED,,
Dick Scott Plumbing Heating And AC,Kris,kris.knochelmann@schnellerair.com,+1 513-854-4554,C,"Cincinnati, OH",1,OPENED,,
3 Brothers Heating And Cooling,Haidar,haidar@3brothersheatingcooling.com,+1 614-948-8972,A,,1,2025-12-19,OPENED,Housecall Pro
Boss Services,Jerry,jerry.street@bosshvac.com,+1 269-213-5501,A,"Benton Harbor, MI",1,OPENED,,Jobber
Von Deylen Plumbing And Heating,Randall,rfisher@vondeylen.com,+1 419-592-4756,C,"Napoleon, OH",1,OPENED,,
Dbip Mechanical,Tim,tim@dbipmechanical.com,+1 347-863-0052,C,"Linden, NJ",1,OPENED,,
Blaka Cool Inc,,blakacool@gmail.com,+1 718-607-7866,C,"Jamaica, NY",1,OPENED,,
Alltek Plumbing Heating And AC,Christine,christine@alltekplumbing.com,+1 419-228-2708,C,"Delphos, OH",1,OPENED,,
America Heating And Air,,americaheatingandair@gmail.com,+1 267-214-3524,C,"Philadelphia, PA",1,OPENED,,
Stephany Heating And AC,Eric,eric@stephanyheating.com,+1 219-324-7894,C,,1,2025-12-19,OPENED,
Hm Hvac Inc,,sales.hmhvac@gmail.com,+1 718-872-5788,C,"Brooklyn, NY",1,OPENED,,
All Pro Services,Leslie,leslie@yourallproservices.com,+1 269-684-3609,B,"Buchanan, MI",1,OPENED,,
Platinum Heating And Cooling,Brice,brice@platinumheatingmi.com,+1 616-229-0444,C,"Jenison, MI",1,OPENED,,
American Hvac Services,,amts1600@gmail.com,+1 917-992-4894,C,"New York, NY",1,OPENED,,
Atlantic Mechanical Contractors,Adam,info@atlantic-heatingcooling.com,+1 973-453-5677,C,"Clifton, NJ",1,OPENED,,
River View,Todd,todd@riverviewhvac.com,+1 513-252-2747,C,"Cincinnati, OH",1,OPENED,,
Topline Heating And Air,Sam,sam@toplineair.com,+1 855-822-2270,C,"Enon, OH",1,OPENED,,
Dor Mar Columbus Heating And Air,Steven,steven.brewer@dormarhvac.com,+1 614-238-6689,A,"Columbus, OH",1,OPENED,,ServiceTitan
Schneller Knochelmann Plumbing,Kris,kris.knochelmann@skpha.com,+1 513-407-4424,B,"Cincinnati, OH",1,OPENED,,
Marlin White And Sons,Robert,rwhite@marlinwhiteandsons.com,+1 419-332-3631,C,"Fremont, OH",1,OPENED,,
Coblentz Heating And Air,Brady,bradycoblentz@coblentzhvac.com,+1 574-849-0697,C,"Mishawaka, IN",1,OPENED,,
Airvantage Heating And Cooling,Matthew,airvantagehc@gmail.com,+1 810-990-4598,A,"Smiths Creek, MI",1,OPENED,,Housecall Pro
K Stone Heating And Cooling,Kilo,k.stonehvac@gmail.com,+1 419-306-2139,C,,1,2025-12-19,OPENED,
City Plumbing,,cityplumbingllc@gmail.com,+1 215-918-7041,C,"Philadelphia, PA",1,OPENED,,
Diesel's Heating & Cooling,,office@dieselshvac.com,+1 724-745-7430,C,"Houston, PA",1,OPENED,,
Affordable Heating Cooling Repair,,heatingcoolingpa@gmail.com,+1 724-518-1662,C,"Monongahela, PA",1,OPENED,,
Preferred Enterprises,,info@preferredenterprises.net,+1 814-723-2711,C,"Warren, PA",1,OPENED,,
Cornerstone Comfort Solutions,Andrew,andrew.cornerstone17@gmail.com,+1 574-664-2052,C,"Twelve Mile, IN",1,OPENED,,
Wojos Heating And Ac,Tom,tom@wojosheating.com,+1 419-849-2001,C,"Woodville, OH",1,OPENED,,
Rw Climate Control,Tim,timrouse@rwclimatecontrol.com,+1 810-510-0051,C,"Otisville, MI",1,OPENED,,
Downey Plumbing Heating Cooling,Shaun,shaun@downeyphc.com,+1 419-823-3002,C,"Bowling Green, OH",1,OPENED,,
Comfort Systems,Shawn,sdehart@comfortsystemsbaltimore.com,+1 410-529-1879,A,,1,2025-12-18,OPENED,Housecall Pro
Petro Plumbing And Mechanical,Jonathan,jon@petroplumbingmechanical.com,+1 269-629-0278,C,"Plainwell, MI",1,OPENED,,
Staleys Plumbing Heating And AC,Scott,scott@staleyplumbingheating.com,+1 810-659-5572,B,"Flushing, MI",1,OPENED,,
Muse Heating And Cooling,Chris,chris@museheatingandcooling.com,+1 765-522-4716,C,"Roachdale, IN",1,OPENED,,
Adams Heating And Cooling,Dale,daleadams@adamsheat.com,+1 513-506-3098,B,"Cincinnati, OH",1,OPENED,,
Warner Mechanical Services,Kurt,warnermech1@gmail.com,+1 937-608-6068,C,,1,2025-12-18,OPENED,
Steves A To Z,,steve@stevesatoz.com,+1 937-673-6236,C,,1,2025-12-18,OPENED,
Patriot Air Comfort Systems,William,bkanipe@patriotair.com,+1 614-577-1577,B,"Groveport, OH",1,OPENED,,
Platinum HVAC,,info@platinumhvacs.com,+1 781-424-7276,C,"Norwell, MA",1,OPENED,,
Contrast Mechanical,Doug,dbowers@contrastmechanical.com,+1 586-786-1200,C,"Macomb, MI",1,OPENED,,
Favret Heating And Cooling,Philip,favret@favret.com,+1 614-488-5211,A,"Columbus, OH",1,OPENED,,ServiceTitan
Menyhart Plumbing And Heating,Peter,peter@menyhartplumbing.com,+1 216-631-5519,C,"Cleveland, OH",1,OPENED,,
Grapids Home Services,Nathan,nathan@grheat.com,+1 616-210-3456,B,"Grand Rapids, MI",1,OPENED,,
Pro Services,Mike,mvandemaele@prosatwork.com,+1 269-327-2322,C,"Portage, MI",1,OPENED,,
Air Plus Heating And Cooling,Robert,rob@airpluscincinnati.com,+1 513-769-0871,B,"Cincinnati, OH",1,OPENED,,
Comfort Tech Heating And Cooling,Sam,sam@comfort-techhvac.com,+1 616-896-9789,A,,1,2025-12-18,OPENED,Housecall Pro
Temperature Supply,Michael,michael@temperaturesupply.com,+1 216-475-8888,C,"Cleveland, OH",1,OPENED,,
Hopkins Mechanical Services,Scott,scott@hopkinsmechanical.com,+1 989-640-4033,C,,1,2025-12-18,OPENED,
HVAC Central Air Inc,,info@hvaccentralair.com,+1 631-440-1032,C,"New York, NY",1,OPENED,,
Craft Mechanical,Cameron,ctarnas@craftmechanical.net,+1 269-348-0974,C,"Galesburg, MI",1,OPENED,,
Aw Heating And Cooling,Kyle,kyle@awheatingandcooling.com,+1 419-856-2343,B,"Whitehouse, OH",1,OPENED,,
South County Mechanical,Josh,josh@soco-mech.com,+1 219-552-0228,C,,1,2025-12-18,OPENED,
Bedford Mechanical Inc,,info@bedfordmechanical.com,+1 781-275-1668,C,"Bedford, MA",1,OPENED,,
Whitney Services,Timothy,tim@callwhitney.com,+1 833-728-5255,B,"Kalamazoo, MI",1,OPENED,,
Yeck Heating And Cooling,Jeffrey,jyeck@yeckheatcools.com,+1 330-546-2609,C,,1,2025-12-17,OPENED,
M J Adams Electrical Contractors,Tori,tori@mjadamselectric.com,+1 513-741-1164,C,"Cincinnati, OH",1,OPENED,,
Westhaven Builders,Dan,dan@westhavenbuilders.com,+1 810-637-8917,C,"St Clair, MI",1,OPENED,,
Sustainergy Cooperative,Flequer,flequer@sustainergy.coop,+1 513-689-3068,C,"Cincinnati, OH",1,OPENED,,
Baker Cooling And Heating,Andrew,andrew.baker@bakercooling.com,+1 419-910-1157,C,,1,2025-12-17,OPENED,
Amistee Air Duct Cleaning,Mike,mike@amistee.com,+1 810-743-5377,A,"Burton, MI",1,OPENED,,ServiceTitan
Plumb Tite Plumbing Heating Cooling,Ben,bschneider@plumbtite.com,+1 513-547-2251,A,"Cincinnati, OH",1,OPENED,,ServiceTitan
Main Stream Mechanical,,info@mainstreammechanical.com,+1 978-834-0849,C,"Amesbury, MA",1,OPENED,,
Ainsley Heating And Cooling,Tom,twalden@ainsleyhtg.com,+1 330-970-9782,A,"Cortland, OH",1,OPENED,,ServiceTitan
Mccarver Mechanical Heating,Chris,chris@mccarvermech.com,+1 586-489-3884,C,"Warren, MI",1,OPENED,,
Eco Plumbers Electricians And Hvac,Aaron,aaron@geteco.com,+1 937-697-1223,A,"Dayton, OH",1,OPENED,,ServiceTitan
Douglas Heating Supply,Rich,rich@douglashs.com,+1 269-344-6666,C,"Kalamazoo, MI",1,OPENED,,
4 Star Plumbing Heating And AC,Rob,rob4starr@gmail.com,+1 419-636-0035,C,"Bryan, OH",1,OPENED,,
AirPro Solutions Hvac,Efer,info@airprosolutionshvac.com,+1 781-874-8899,C,"Chelmsford, MA",1,OPENED,,
All In One Housing Specialists,,don.lyons1@gmail.com,+1 740-361-8296,C,,1,2025-12-17,OPENED,
Hvac Design Partners,Jeremy,jbegley@hvacdesignpartners.com,+1 513-486-4908,C,,1,2025-12-17,OPENED,
Superior Heating And Cooling,Pete,pete@superiorheatcoolgeo.com,+1 586-727-7753,C,"Port Huron, MI",1,OPENED,,
Shoups Plumbing And Heating,Dean,deanshoup1@gmail.com,+1 419-492-2537,C,"Bloomville, OH",1,OPENED,,
Rx Comfort Heating And AC,Adam,adam@rxcomfort.com,+1 616-777-0797,C,"Jenison, MI",1,OPENED,,
Waynes Air Conditioning And Heating,Chris,chris@waynesacandheating.com,+1 330-862-8849,A,"Massillon, OH",1,OPENED,,Housecall Pro
Vent,Karl,kkastl@venthvac.com,+1 440-785-2629,C,"Fairview Park, OH",1,OPENED,,
Pustai Heating And Cooling,Pete,pete@all-starservice.com,+1 219-924-5112,C,"Highland, IN",1,OPENED,,
Tp Mechanical Contractors,Tim,tim.hoover@tpmechanical.com,+1 614-253-8556,C,"Columbus, OH",1,OPENED,,
West View Heating And Cooling,Tom,tom@westviewheatingandcooling.com,+1 440-235-3385,C,"Fairview Park, OH",1,OPENED,,
Tropicool Heating AC Plumbing,Bryan,bryan@calltropicool.com,+1 614-219-9992,B,"Columbus, OH",1,OPENED,,ServiceTitan
Burton Hvac Services,Yorick,yorick@simple-different.com,+1 810-243-3734,C,"Burton, MI",1,OPENED,,
Infinity Mechanical Services,Joseph,joe@ims-hvac.net,+1 269-363-3907,C,"St Joseph, MI",1,OPENED,,
Sauer Group,Will,wvranich@sauergroup.com,+1 614-853-2500,C,"Columbus, OH",1,OPENED,,
Element Heating Cooling Refrigeration,Mike,mike.pontious@elementhvacr.com,+1 216-815-5894,C,"Parma, OH",1,OPENED,,
Cornerstone Plumbing Heating,,office@cornerstoneplumbingheating.com,+1 207-778-5200,C,"Farmington, ME",1,OPENED,,
Pro Comfort Heating And Cooling,Greg,victorf@pro-comforthvac.com,+1 216-856-2447,C,,1,2025-12-16,OPENED,
Performance Heating Cooling,Jim,jim@performancehvacr.com,+1 248-506-1124,C,"Harrison Township, MI",1,OPENED,,
Techaire,Patrick,patrick@dispatch.me,+1 614-314-3499,C,"Richwood, OH",1,OPENED,,
Feldkamp Mechanical,Jonathan,jon@feldkampmechanical.com,+1 513-870-0601,C,"Cincinnati, OH",1,OPENED,,
Boniface Heating And AC,Deb,deb@bonifaceheating.com,+1 269-672-7914,C,"Shelbyville, MI",1,OPENED,,
American Air Heating Cooling Electric,Chad,chad@americanairheating.com,+1 614-851-0099,B,"Hilliard, OH",1,OPENED,,
American Air Systems Inc,Alex,info@americanairsystemsinc.com,+1 800-439-2136,C,"Conway, NH",1,OPENED,,
Countywide Heating and Cooling,Matt,service@cmsheatandair.net,+1 413-731-6668,C,"Westfield, MA",1,OPENED,,
Mr Air Heating And AC,Tommy,tommy@mrairheatandcool.com,+1 614-962-7466,A,"Etna, OH",1,OPENED,,Housecall Pro
CB Mechanical,,cbhvac@gmail.com,+1 763-439-5763,C,"Foreston, MN",1,OPENED,,
Sammons Services,Robert,rfsammons@gmail.com,+1 419-630-7656,C,"Bryan, OH",1,OPENED,,
Cape May Contracting Inc,,info@capemaycontracting.com,+1 609-884-0300,C,"West Cape May, NJ",1,OPENED,,
